id,label,token_len,ppl,AE,APE,APL,CUD,SIB,FL,generated_text,REV,label_num
gsm8k_0,control,57,1.276220679283142,1.0380280017852783,0.20688631836379076,0.7916666666666666,0.0,0.9295708387887623,0.4524517059326172,"

**Step 1:**

**Step 2:**

**Step 3:**

**Step 4:**

**Step 5:**

**Step 6:**

**Step 7:**

**Step ...",-0.3990019753200642,0
gsm8k_1,control,71,1.2254225015640259,1.0534312725067139,0.20410544217518822,0.7916666666666666,0.0,0.978643531129188,0.4744665026664734,"

Elon has 10 more teslas than Sam who has half the number of teslas as Chris. Chris has 6 teslas. H...",0.09676171996835677,0
gsm8k_2,control,102,1.370227336883545,1.0335699319839478,0.2475280189605257,0.7916666666666666,0.0,0.9790372402427957,0.46151697635650635,"

Step 1: Drink 3 gallons of milk daily.

Step 2: Drink 3 gallons of milk daily.

Step 3: Drink 3 ga...",0.22294938881185722,0
gsm8k_3,control,86,1.2382783889770508,1.0153203010559082,0.22365805290539242,0.7916666666666666,0.0,0.9650368530999031,0.46505892276763916,"

1/3rd of the seeds land in water and die. 1/6 of the starting number are eaten by insects. Half th...",0.015312288962298276,0
gsm8k_4,control,99,2.248553514480591,1.03444504737854,0.23523185233213453,0.7916666666666666,0.0,0.9804165559486083,0.4775822013616562,"

The following is a list of the steps that the player must take to complete the game.

The player m...",0.2464910930003589,0
gsm8k_5,control,77,1.7054710388183594,1.0280334949493408,0.2263110314153071,0.7916666666666666,0.0,0.9327163209388297,0.45006537437438965,"

The company has taken $12,000 in bookings.

The company has taken $16,000 in bookings.

The compan...",-0.30437269266266687,0
gsm8k_6,control,100,2.1882147789001465,1.0328503847122192,0.24304681506908532,0.7916666666666666,0.0,0.9802664794090453,0.4567111134529114,"

A:

The answer is:

6 cups of tea per day

This is the number of cups of tea she will be able to e...",0.19649751790699843,0
gsm8k_7,control,101,2.4587812423706055,1.039961814880371,0.23296741466395982,0.7916666666666666,0.0,0.9695758614263732,0.4652038961648941,"

A:

The problem is that you are assuming that the dog is carrying the water.  If the dog is carryi...",0.09842445433613838,0
gsm8k_8,control,84,2.0783114433288574,1.0448787212371826,0.20601089445311635,0.7916666666666666,0.0,0.9724396934852826,0.4613230377435684,"

A:

You can use the following formula to determine the number of yards of ribbon left:

If the num...",-0.0009579979211643275,0
gsm8k_9,control,70,1.7421704530715942,1.0330413579940796,0.22970869201716917,0.7916666666666666,0.0,0.9548581603464896,0.4626198709011078,"

A:

The answer is $5.00 per stocking.

A:

The answer is $5.00 per stocking.

A:

The answer is $5...",-0.05206498072384217,0
gsm8k_10,control,97,1.5469430685043335,1.0453840494155884,0.23631895561547497,0.7916666666666666,0.0,0.9760908791247137,0.45452621579170227,"

Step 1: Take the stairs to the third floor.

Step 2: Take the stairs to the second floor.

Step 3:...",0.1279393400152302,0
