id,label,dataset,token_len,ppl,AE,APE,APL,CUD,SIB,FL,generated_text,answer,REV,label_num
gsm8k_0,reasoning,gsm8k,41,5.718211200000001,3.2,0.64,9.6,,4.8,1.6,,"Mimi has 2 x 12 = <<2*12=24>>24 sea shells.
Kyle has 24 x 2 = <<24*2=48>>48 sea shells.
Leigh has 48 / 3 = <<48/3=16>>16 sea shells.
#### 16",0.0,1
gsm8k_1,reasoning,gsm8k,45,5.718211200000001,3.2,0.64,9.6,,4.8,1.6,,"He has 6 - 2 = <<6-2=4>>4 cats.
He has 4 - 1 = <<4-1=3>>3 parrots.
He has 4 + 6 = <<4+6=10>>10 snakes.
He has a total of 2 + 4 + 3 + 10 = <<2+4+3+10=19>>19 pets.
#### 19",0.0,1
gsm8k_2,reasoning,gsm8k,44,5.718211200000001,3.2,0.64,9.6,,4.8,1.6,,"Dad gave Olaf 10 toy cars,
Mom has given Olaf 5 more toy cars than Dad, so 10 + 5 = <<10+5=15>>15 toy cars
Auntie gave Olaf 6 toy cars,
Uncle has given 1 less toy than Auntie, so 6 - 1 = <<6-1=5>>5 toy cars
Grandpa gave Olaf 2 * 5 = <<2*5=10>>10 toy cars.
All the family together gave Olaf 10 +15 + 6 + 5 + 10 = <<10+15+6+5+10=46>>46.
Adding the cars Olaf already had, Olaf's collection has 150 + 46 = <<150+46=196>>196 cars.
#### 196",0.0,1
gsm8k_3,reasoning,gsm8k,50,5.718211200000001,3.2,0.64,9.6,,4.8,1.6,,"She spend $56 because 7 x 8 = <<7*8=56>>56
She has $44 left in the bank because 100 - 56 = <<100-56=44>>44
She can get 8 five dollar bills because 44 / 5 = <<44/5=8.8>>8.8
This is equal to $40 because 8 x 5 = <<8*5=40>>40
She has $4 left in the account because 44 - 40 = <<44-40=4>>4
#### 4",0.0,1
gsm8k_4,reasoning,gsm8k,47,5.8182112,3.2,0.64,9.6,,4.8,1.6,",","After the first day, Ezekiel had 50 - 10 = <<50-10=40>>40 kilometers of the hike left.
On the second day, he covered 50 / 2 = <<50/2=25>>25 kilometers.
Therefore, on the third day, he had 40 - 25 = <<40-25=15>>15 kilometers left to finish the hike.
#### 15",0.0,1
gsm8k_5,reasoning,gsm8k,45,5.718211200000001,3.2,0.64,9.6,,4.8,1.6,,"On the second day, he collected 3 times the number of tins he collected on the first day, which is 3*50 = <<3*50=150>>150 tins.
On the third day, he collected 50 tins fewer than the second day, which is 150-50 = <<150-50=100>>100 tins
The total for the three days is 150+100+50 = <<150+100+50=300>>300 tins.
To reach his goal, he still needs 500-300 = <<500-300=200>>200 tins.
Since the total number of days left in the week is 4, he'll need to collect 200/4 = <<200/4=50>>50 tins per day to reach his goal
#### 50",0.0,1
gsm8k_6,reasoning,gsm8k,42,5.718211200000001,3.2,0.64,9.6,,4.8,1.6,,"The third dart earned Don 50 / 2 = <<50/2=25>>25 points.
Thus, his total score is 50 + 0 + 25 = <<50+0+25=75>>75 points.
#### 75",0.0,1
gsm8k_7,reasoning,gsm8k,48,5.8182112,3.2,0.64,9.6,,4.8,1.6,.,"The pebble's total splash width is 1.5 meters because 6 times 1/4 equals <<6*1/4=1.5>>1.5.
The rock's total splash width is 1.5 meters because 3 times 1/2 equals <<3*1/2=1.5>>1.5.
The boulder's total splash width is 4 because 2 times 2 equals four.
The total splash width for all the rocks is 7 because 1.5 plus 1.5 plus 4 equals 7.
#### 7",0.0,1
gsm8k_8,reasoning,gsm8k,40,5.718211200000001,3.2,0.64,9.6,,4.8,1.6,,"He has 36 eggs because 3 x 12 = <<3*12=36>>36
He can make 9 omelets because 36 / 4 = <<36/4=9>>9
Each person gets 3 omelets because 9 / 3 = <<9/3=3>>3
#### 3",0.0,1
gsm8k_9,reasoning,gsm8k,51,5.718211200000001,3.2,0.64,9.6,,4.8,1.6,,"The second stack has 7 blocks + 3 blocks = <<7+3=10>>10 blocks.
The third stack has 10 blocks - 6 blocks = <<10-6=4>>4 blocks.
The fourth stack has 4 blocks + 10 blocks = <<4+10=14>>14 blocks.
The fifth stack has 10 blocks x 2 = <<10*2=20>>20 blocks.
In total there are 7 blocks + 10 blocks + 4 blocks + 14 blocks + 20 blocks = <<7+10+4+14+20=55>>55 blocks.
#### 55",0.0,1
